Initial ID,ID,Class,Order,Family,Subfamily,Genus,Species,PT1,PT2,PT3,PT4,PT5,PT6,PT7,PT8,PT9,PT10,PT11,PT12,PT13,PT14,PT15
Pt130,MSp 387,Arachnida,Araneae,Ctenidae,Cteninae,Ctenus ,medius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt131,MSp 388,Insecta,Coleoptera,Scarabaeidae,Melolonthinae,Maladera, castanea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt132,MSp 389,Insecta,Orthoptera,Tetrigidae,Tetriginae,Tettilobus ,prashadi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt133,MSp 390,Insecta,Coleoptera,Staphylinidae,Scydmaeninae,Scydmaenus,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt135,MSp 392,Insecta,Hemiptera,Veliidae,Microveliinae,Microvelia ,reticulata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt136,MSp 393,Insecta,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt137,MSp 394,Insecta,Coleoptera,Carabidae, Brachininae,Brachinus ,tetracolon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt138,MSp 395,Arachnida,Araneae,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt139,MSp 396,Insecta,Hymenoptera,Formicidae, Dolichoderinae,Technomyrmex ,pallipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt140,MSp 397,Insecta,Hymenoptera,Scelionidae,Teleasinae,Trimorus ,caraborum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt142,MSp 399,Insecta,Hymenoptera,Mutillidae,Sphaeropthalminae,Pseudomethoca ,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt143,MSp 400,Arachnida,Araneae,Ageleniidae,Ageleniinae,Agelenopsis ,pennsylvanica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt144,MSp 401,Arachnida,Araneae,Zodariidae,Zodariidnae,Zodarion ,rubidum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt145,MSp 402,Arachnida,Araneae,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt146,MSp 403,Arachnida,Araneae,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt147,MSp 404,Insecta,Hymenoptera,Pompilidae,Pepsinae,Hemipepsis,Sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt149,MSp 406,Insecta,Hymenoptera,Formicidae,Dorylinae,Dorylus ,molestus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt150,MSp 407,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt151,MSp 408,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt152,MSp 409,Insecta,Hemiptera,Reduviidae,Phymatinae,Reduvius ,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt153,MSp 410,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt154,MSp 411,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt155,MSp 412,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt156,MSp 413,Insecta,Hymenoptera,Pompilidae,Pepsinae,Hemipepsis ,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt157,MSp 414,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt158,MSp 415,Insecta,Orthoptera,Gryllidae,Gryllinae,Gryllus ,vernalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt159,MSp 416,Insecta,Coleoptera,Staphylinidae,Staphylinidae,Philonthus ,asper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt160,MSp 417,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt162,MSp 419,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt163,MSp 420,Insecta,Coleoptera,Staphylinidae,Paederinae,Lathrobium ,nigrum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt164,MSp 421,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt165,MSp 422,insecta,Diptera,Tipulidae,Tipulinae,Tipula ,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt166,MSp 423,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt167,MSp 424,insecta,Othoptera,Acrididae,Gomphocerinae,Chorthippus ,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt168,MSp 425,Insecta,Coleoptera,Carabidae,Harpalinae,Laemostenus ,complanatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt169,MSp 426,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt170,MSp 427,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt172,MSp 429,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt173,MSp 430,Insecta,Hymenoptera,Sphecidae,Ammophilinae,Eremnophila  ,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
